# angle I
3.370513062884688082e+01 2.093900000000000091e+03
3.424451413082888962e+01 2.173611111111111313e+03
3.480943194451873524e+01 2.160352941176470722e+03
3.534790484289619883e+01 2.427424242424242493e+03
3.589614404934585679e+01 2.468941176470588289e+03
3.643805199044447107e+01 2.127848484848484986e+03
3.697131961695204438e+01 2.276333333333333485e+03
3.751459460297198234e+01 2.207205882352940989e+03
3.806625590850978114e+01 2.057484848484848499e+03
3.860931254035769911e+01 2.293764705882353155e+03
3.916121171419423774e+01 2.146970588235294144e+03
3.970694193771946345e+01 2.006484848484848499e+03
4.024668347299495963e+01 2.128454545454545496e+03
4.078478897205020104e+01 1.867060606060606005e+03
4.132353926110801012e+01 1.882575757575757507e+03
4.187584404994500886e+01 1.793400000000000091e+03
4.242121406668921679e+01 1.866484848484848499e+03
4.294827888917989611e+01 1.807030303030303003e+03
4.349444471745253793e+01 1.743771428571428487e+03
4.405394870234309224e+01 1.430911764705882433e+03
4.459031073855738470e+01 1.798027777777777828e+03
4.508957967593918426e+01 1.427250000000000000e+03
4.563542973004789616e+01 1.590046511627906966e+03
4.623998000271974007e+01 1.402941176470588289e+03
4.676933452414458969e+01 1.535343750000000000e+03
4.730885458500067386e+01 1.257085714285714175e+03
4.786213927373787413e+01 1.259823529411764639e+03
4.839481212474417759e+01 1.109969696969696997e+03
4.894246647877888989e+01 1.067676470588235361e+03
4.949161727846596648e+01 8.190909090909091219e+02
5.002774932525154838e+01 9.654545454545454959e+02
5.057509842913610498e+01 9.985000000000000000e+02
5.112733934498811550e+01 7.856764705882352473e+02
5.166953632276147346e+01 7.865151515151515014e+02
5.220271028569910499e+01 8.343235294117647527e+02
5.274191343370564766e+01 8.937812500000000000e+02
5.328415719909889958e+01 7.126000000000000227e+02
5.383544851518187357e+01 6.440000000000000000e+02
5.437495115453418038e+01 4.467647058823529278e+02
5.492461118985455926e+01 5.856363636363636260e+02
5.546161590900636895e+01 8.667941176470587834e+02
5.597659769984375799e+01 9.712666666666666515e+02
5.652627385785160641e+01 1.189054054054053950e+03
5.710470519630157327e+01 1.104764705882352928e+03
5.765629025594386547e+01 1.294885714285714357e+03
5.820269428145331148e+01 1.686531250000000000e+03
5.874289968767105563e+01 1.752657142857142844e+03
5.928861256382764111e+01 2.110343750000000000e+03
5.982069092753341977e+01 2.139117647058823422e+03
6.036121235342783820e+01 2.172303030303030482e+03
6.090767323727737903e+01 2.679911764705882433e+03
6.145315819347887043e+01 2.882441176470588289e+03
6.200332887217412292e+01 3.272787878787878981e+03
6.253499573451564686e+01 3.089939393939393995e+03
6.309955902086930024e+01 3.086805555555555657e+03
6.365627655256918160e+01 3.123323529411764866e+03
6.419640098043058174e+01 2.945161290322580498e+03
6.471527335401864889e+01 3.245470588235294144e+03
6.525812868828256796e+01 2.953437500000000000e+03
6.578547752000226012e+01 2.945794117647059011e+03
6.634347036989171897e+01 2.552558823529411711e+03
6.689070284366444241e+01 2.961735294117646845e+03
6.743137019811030086e+01 2.815515151515151501e+03
6.795716840828715988e+01 2.631375000000000000e+03
6.850473572133095956e+01 2.968628571428571377e+03
6.906189037431909128e+01 3.139500000000000000e+03
6.959990117694709966e+01 3.221545454545454504e+03
7.015006224092151399e+01 2.885028571428571468e+03
7.069432411154845397e+01 2.909575757575757507e+03
7.122468714804675471e+01 2.914312500000000000e+03
7.177174747358472473e+01 3.031599999999999909e+03
7.232623705108673562e+01 3.060205882352940989e+03
7.287630820163907686e+01 2.833588235294117567e+03
7.341310026930528920e+01 2.509382352941176578e+03
7.395684280849103232e+01 2.730303030303030482e+03
7.449697716082428656e+01 2.770727272727272521e+03
7.504653517367997040e+01 2.598142857142857338e+03
7.557038341492344102e+01 2.559064516129032199e+03
7.611601797115585555e+01 2.849942857142857065e+03
7.667656385977717548e+01 3.162333333333333485e+03
7.722239688470756391e+01 3.248657142857142844e+03
7.777033649056966169e+01 3.364575757575757507e+03
7.830556526035459797e+01 2.836727272727272521e+03
7.884593312080116334e+01 2.511000000000000000e+03
7.939584778203575866e+01 2.835742857142857247e+03
7.994633855754163676e+01 2.873454545454545496e+03
8.048978222604523580e+01 3.137617647058823422e+03
8.103531260040544737e+01 4.589666666666666970e+03
8.155376009590847275e+01 5.225290322580644897e+03
8.208534238867135002e+01 3.068444444444444343e+03
8.264629327818182958e+01 2.594151515151515014e+03
8.319375618881005607e+01 2.797411764705882433e+03
8.374863664009761521e+01 3.150264705882353155e+03
8.429578212873795451e+01 4.045787878787878981e+03
8.482795785328499960e+01 3.568906250000000000e+03
8.536265027739511879e+01 2.188000000000000000e+03
8.591836030743230879e+01 2.453171428571428351e+03
8.647025606863735447e+01 6.253264705882353155e+03
8.701331127089649442e+01 2.141882352941176578e+03
8.756163550170178667e+01 1.835342857142857156e+03
8.809886486274605488e+01 2.891757575757575978e+03
8.860120328322621219e+01 6.618451612903225396e+03
9.133837554139712722e+01 5.801111111111110858e+02
9.190876790330084134e+01 4.504777777777777374e+03
9.245324487335342667e+01 4.164000000000000000e+03
9.298485492454607027e+01 2.467441176470588289e+03
9.352752634318252944e+01 2.188176470588235134e+03
9.407139105547808811e+01 3.649352941176470722e+03
9.461284492656152167e+01 7.052718750000000000e+03
9.515796102800703693e+01 8.394088235294117112e+03
9.570563176070641020e+01 4.019060606060606005e+03
9.625210869092225607e+01 3.059676470588235134e+03
9.679075465212605422e+01 2.364968750000000000e+03
9.732192205671839247e+01 2.289848484848484986e+03
9.788116075589834963e+01 2.320944444444444343e+03
9.843797032412460624e+01 2.111441176470588289e+03
9.897516316729048924e+01 2.682625000000000000e+03
9.951064876608347731e+01 3.168411764705882433e+03
1.000541877338466890e+02 3.019484848484848499e+03
1.005969442039005628e+02 2.966117647058823422e+03
1.011287357008102106e+02 3.347687500000000000e+03
1.016826875455323460e+02 3.187914285714285597e+03
1.022313500376360196e+02 2.639303030303030482e+03
1.027700893870352985e+02 2.526352941176470722e+03
1.033187568363594835e+02 2.232911764705882433e+03
1.038562654558022444e+02 2.514774193548387302e+03
1.044036774535721435e+02 3.001833333333333485e+03
1.049636905798076185e+02 2.788588235294117567e+03
1.055069938723007823e+02 2.840151515151515014e+03
1.060395568393076502e+02 2.831500000000000000e+03
1.065767667465907493e+02 3.262970588235294144e+03
1.071263279347570432e+02 3.007676470588235134e+03
1.076779662774154787e+02 2.712676470588235134e+03
1.081830986675927591e+02 3.043000000000000000e+03
1.087235980966408846e+02 3.032378378378378329e+03
1.093014038376571619e+02 2.835176470588235134e+03
1.098457413807890930e+02 2.719235294117646845e+03
1.103907458637096539e+02 2.730969696969696997e+03
1.109312418205945505e+02 2.676696969696969518e+03
1.114940714703530062e+02 2.718555555555555657e+03
1.120422676048500676e+02 3.238354838709677551e+03
1.125585082013231641e+02 3.018393939393939490e+03
1.131004473562803270e+02 3.086470588235294144e+03
1.136310998200929703e+02 3.278968750000000000e+03
1.141961528455364032e+02 2.959891891891892101e+03
1.147511566245637056e+02 3.079593750000000000e+03
1.152924719028649889e+02 2.957970588235294144e+03
1.158492166557808929e+02 3.027235294117646845e+03
1.163964753138483132e+02 3.015685714285714312e+03
1.169306695829905607e+02 3.030833333333333485e+03
1.174666486460728265e+02 3.034833333333333485e+03
1.180118967412458915e+02 2.667903225806451701e+03
1.185471627590007984e+02 2.999542857142856974e+03
1.191049238558123449e+02 2.707235294117646845e+03
1.196435278838247172e+02 2.808625000000000000e+03
1.201749451487811484e+02 2.892529411764705856e+03
1.207078628875463835e+02 2.825718750000000000e+03
1.212620689258145745e+02 2.596333333333333485e+03
1.218297497807640610e+02 2.654470588235294144e+03
1.223720277475966327e+02 2.617906250000000000e+03
1.229021884235678499e+02 2.641303030303030482e+03
1.234359494971040760e+02 2.621787878787878981e+03
1.239740616461171498e+02 2.536411764705882433e+03
1.245169778395088969e+02 2.542848484848484986e+03
1.250685746985297584e+02 2.411235294117646845e+03
1.256266411325916152e+02 2.536764705882353155e+03
1.261665631328614552e+02 2.597787878787878981e+03
1.266849530230017393e+02 2.422838709677419502e+03
1.272297919560920150e+02 2.493027777777777828e+03
1.277891336864962426e+02 2.310705882352940989e+03
1.283326675784032318e+02 2.892454545454545496e+03
1.288785519843108034e+02 2.431147058823529278e+03
1.294224236866042190e+02 2.444969696969696997e+03
1.299631723184354541e+02 2.366030303030303003e+03
1.305002100339527260e+02 2.406424242424242493e+03
1.310520989860733891e+02 2.421400000000000091e+03
1.316038376337791362e+02 2.266676470588235134e+03
1.321381798021139957e+02 2.346303030303030482e+03
1.326678613481703906e+02 2.389121212121212011e+03
1.332248678153888477e+02 2.318750000000000000e+03
1.337721701214464645e+02 2.220437500000000000e+03
1.343327865957769234e+02 2.266605263157894569e+03
1.348413218367396382e+02 2.300869565217391482e+03
1.353915838177796900e+02 2.340883720930232357e+03
